Type;Component;Input (delta) [%];Speed [m/second];Energy (Well to tank) [J];CO2 (Well to tank) [kg];SOx (Well to tank) [kg];CH4 (Well to tank) [kg];NOx (Well to tank) [kg];PM (Well to tank) [kg];CO2 [kg];SOx [kg];Energy [J];CH4 [kg];NOx [kg];PM [kg];GWP [kg];NPV [EUR];Fuel Consumption [kg]
Tanker SuezMax FS;Propulsion;-24;3.9097779999999998;33624901002.7688;-1081.314939;1.228756;0.451441;0.6540729999999999;0.35180500000000003;1248.9176710000002;0.0;17892150204.08164;0.0;8.005102;0.014461000000000002;180.243087;-999.4937060000001;866.2045109999999
Tanker SuezMax FS;Electrical;-22;4.0126669999999995;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-22;4.0126669999999995;35762621764.41712;-1150.060104;1.306875;0.480142;0.695656;0.374172;1328.3182689999999;0.0;19029653061.2245;0.0;8.514031;0.015380000000000001;191.70213600000002;-1063.037044;921.273919
Tanker SuezMax FS;Electrical;-20;4.115556;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-20;4.115556;37900342526.0654;-1218.8052699999998;1.384994;0.508842;0.737239;0.396538;1407.718867;0.0;20167155918.367348;0.0;9.022959;0.016299;203.16118500000002;-1126.580382;976.3433259999999
Tanker SuezMax FS;Electrical;-18;4.218444;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-18;4.218444;41330339597.76274;-1329.107664;1.510337;0.5548930000000001;0.80396;0.432425;1535.118021;0.0;21992292081.632645;0.0;9.839541;0.017774;221.547358;-1228.536384;1064.7028109999999
Tanker SuezMax FS;Electrical;-16;4.321333;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-16;4.321333;44760336669.46011;-1439.410058;1.635679;0.600943;0.8706799999999999;0.468311;1662.517176;0.0;23817428244.89796;0.0;10.656122;0.019249000000000002;239.93353100000002;-1330.492386;1153.062296
Tanker SuezMax FS;Electrical;-14;4.424222;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-14;4.424222;48190333741.157455;-1549.712452;1.761022;0.646994;0.937401;0.5041979999999999;1789.91633;0.0;25642564408.16326;0.0;11.472704;0.020725;258.319705;-1432.4483890000001;1241.421781
Tanker SuezMax FS;Electrical;-12;4.527111;9643853060.067532;-310.128567;0.352416;0.129476;0.187593;0.1009;358.198185;0.0;5131591836.734695;0.0;2.295918;0.004147;51.694958;-286.661675;248.43341600000002
Tanker SuezMax FS;Propulsion;-12;4.527111;51620330812.854866;-1660.014846;1.886364;0.693044;1.0041209999999998;0.540085;1917.315485;0.0;27467700571.4286;0.0;12.289286;0.0222;276.705878;-1534.404391;1329.781266
